City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
210,Kibre Mengist,ET,80.92,broken clouds,5.8833,38.9833,Gunbuur Motel
211,Holalkere,IN,73.65,overcast clouds,14.0333,76.1833,Hotel Sneha Comforts
212,Benjamin Aceval,PY,84.6,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
213,Campoverde,PE,73.09,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
214,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
216,Salta,AR,78.58,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
220,Hambantota,LK,79.93,broken clouds,6.1241,81.1185,Bungalow 63
221,Cairo,EG,70.56,broken clouds,30.0626,31.2497,Grand Hotel
226,Umm Kaddadah,SD,88.72,clear sky,13.6017,26.6876,
227,Sao Felix Do Xingu,BR,77.95,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
229,Merauke,ID,82.51,overcast clouds,-8.4667,140.3333,
230,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
231,Bealanana,MG,78.31,broken clouds,-14.55,48.7333,
239,Ofaqim,IL,70.74,overcast clouds,31.3141,34.6203,The Negev Experience
244,Ranot,TH,78.03,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
245,Mazatlan,MX,72.91,overcast clouds,23.2167,-106.4167,Hotel Playamar
250,Calvinia,ZA,88.86,overcast clouds,-31.4707,19.776,Die Lemoenhuis
254,Freetown,SL,82.11,haze,8.484,-13.2299,The Country Lodge Hotel
261,Awbari,LY,82.24,overcast clouds,26.5921,12.7805,فندق أوباري
262,Cidreira,BR,70.38,broken clouds,-30.1811,-50.2056,Hotel Castelo
263,Kollam,IN,84.07,moderate rain,8.8833,76.6,Nani Hotels and Resorts
268,Tshela,CD,84.74,moderate rain,-4.9833,12.9333,Hotel Mirador
270,Cabo San Lucas,MX,75.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
272,Puerto Leguizamo,CO,73.83,overcast clouds,-0.1934,-74.7819,la casona de juancho
280,Kailua,US,75.18,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
283,Souillac,MU,84.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
286,Iquitos,PE,75.24,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
290,Fare,PF,80.87,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
291,Sao Desiderio,BR,80.42,overcast clouds,-12.3633,-44.9733,Hotel azaf
295,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
297,Lorengau,PG,81.91,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
299,Nouakchott,MR,82.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
300,Sao Filipe,CV,76.01,scattered clouds,14.8961,-24.4956,Hotel Xaguate
301,Moa,CU,78.64,overcast clouds,20.6569,-74.9403,Carmen
312,Faya,SA,73.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
320,Plaeng Yao,TH,83.71,broken clouds,13.5847,101.284,Nongkrok Resort
323,Sibolga,ID,77.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
325,Rio Grande,BR,71.71,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
331,Japura,ID,79.36,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
332,Esna,EG,77.02,few clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
333,Dzilam Gonzalez,MX,71.08,clear sky,21.2833,-88.9333,posadas
334,Kloulklubed,PW,79.57,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
335,Tadine,NC,75.7,broken clouds,-21.55,167.8833,
336,Touros,BR,86.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
338,Broken Hill,AU,74.91,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
341,Charters Towers,AU,78.64,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
344,Isangel,VU,78.91,few clouds,-19.55,169.2667,Tanna Lodge
345,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
347,Port-Gentil,GA,80.24,moderate rain,-0.7193,8.7815,Fengshui Residence
348,Gamboula,CF,84.97,overcast clouds,4.1178,15.1393,
353,Presidencia Roque Saenz Pena,AR,81.09,clear sky,-26.7852,-60.4388,Hotel Aconcagua
354,Daru,PG,81.28,overcast clouds,-9.0763,143.2092,Daru Lodge
355,Muisne,EC,74.53,light rain,0.6,-80.0333,Quinta Samay
