City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Namibe,AO,2021-12-01 17:47:41,-15.1961,12.1522,70.75,77,49,5.46
68,Bluff,NZ,2021-12-01 17:47:41,-46.6,168.3333,51.8,90,10,3.49
69,Chuy,UY,2021-12-01 17:47:42,-33.6971,-53.4616,68.77,53,42,10.4
70,Prado,BR,2021-12-01 17:47:42,-17.3411,-39.2208,78.21,89,99,12.82
71,Cumana,VE,2021-12-01 17:47:43,10.4635,-64.1775,91.49,72,92,7.11
72,Khandyga,RU,2021-12-01 17:47:43,62.6667,135.6,-34.19,97,21,2.04
73,Beloha,MG,2021-12-01 17:47:44,-25.1667,45.05,75.63,85,16,10.07
74,Buenos Aires,AR,2021-12-01 17:42:52,-34.6132,-58.3772,72.99,64,75,11.5
75,Comodoro Rivadavia,AR,2021-12-01 17:45:47,-45.8667,-67.5,80.46,13,0,14.97
76,Airai,TL,2021-12-01 17:45:17,-8.9266,125.4092,61.61,87,99,1.19
77,Banda Aceh,ID,2021-12-01 17:47:45,5.5577,95.3222,78.4,81,56,9.42
78,Guilin,CN,2021-12-01 17:47:46,25.2819,110.2864,42.91,61,29,4.7
79,Vaini,TO,2021-12-01 17:47:46,-21.2,-175.2,77.16,83,75,8.05
80,Oriximina,BR,2021-12-01 17:47:46,-1.7656,-55.8661,98.4,33,97,3.98
81,Pevek,RU,2021-12-01 17:47:47,69.7008,170.3133,-2.76,97,100,7.36
82,Cauquenes,CL,2021-12-01 17:46:52,-35.9671,-72.3225,78.24,26,74,2.55
83,Bredasdorp,ZA,2021-12-01 17:47:48,-34.5322,20.0403,63.28,70,93,11.86
84,Cap-Aux-Meules,CA,2021-12-01 17:47:48,47.3821,-61.8597,32.05,64,75,14.97
85,Tuktoyaktuk,CA,2021-12-01 17:47:49,69.4541,-133.0374,-27.4,75,20,2.3
86,Doha,QA,2021-12-01 17:47:49,25.2867,51.5333,76.89,71,0,2.3
87,Ashqelon,IL,2021-12-01 17:47:49,31.6693,34.5715,66.09,63,62,17.25
88,Kavieng,PG,2021-12-01 17:47:50,-2.5744,150.7967,82.0,72,33,8.01
89,Ocos,GT,2021-12-01 17:47:50,14.5094,-92.1933,90.32,61,1,4.61
90,Antalaha,MG,2021-12-01 17:48:51,-14.9003,50.2788,74.41,88,7,6.06
91,Svetlaya,RU,2021-12-01 17:48:51,46.5389,138.3297,18.86,57,100,18.92
92,Luderitz,NA,2021-12-01 17:48:52,-26.6481,15.1594,65.41,66,0,22.06
93,Bengkulu,ID,2021-12-01 17:48:52,-3.8004,102.2655,75.33,88,67,4.18
94,Hambantota,LK,2021-12-01 17:48:52,6.1241,81.1185,77.02,83,2,4.45
95,Grindavik,IS,2021-12-01 17:43:53,63.8424,-22.4338,28.87,69,75,8.05
96,College,US,2021-12-01 17:48:53,64.8569,-147.8028,-2.25,77,90,0.0
97,Aranos,NA,2021-12-01 17:48:53,-24.1333,19.1167,83.44,26,67,16.73
98,Port Hedland,AU,2021-12-01 17:48:54,-20.3167,118.5667,80.65,78,6,11.5
99,Luganville,VU,2021-12-01 17:48:54,-15.5333,167.1667,79.47,84,80,5.84
100,Mareeba,AU,2021-12-01 17:48:55,-17.0,145.4333,72.45,94,69,2.17
101,Tasiilaq,GL,2021-12-01 17:48:55,65.6145,-37.6368,19.92,93,100,28.92
102,Kudahuvadhoo,MV,2021-12-01 17:48:56,2.6708,72.8944,81.14,80,94,7.11
103,Severo-Kurilsk,RU,2021-12-01 17:48:56,50.6789,156.125,43.81,92,99,36.89
104,Hithadhoo,MV,2021-12-01 17:48:56,-0.6,73.0833,81.99,74,100,3.02
105,San Jose,US,2021-12-01 17:48:08,37.3394,-121.895,69.85,58,1,1.99
106,Qaanaaq,GL,2021-12-01 17:48:57,77.484,-69.3632,8.06,87,100,3.44
107,Souillac,MU,2021-12-01 17:48:57,-20.5167,57.5167,77.38,78,40,8.05
108,Fortuna,US,2021-12-01 17:45:23,40.5982,-124.1573,50.92,87,1,6.91
109,Kabinda,CD,2021-12-01 17:48:58,-6.1333,24.4833,67.71,94,97,1.5
