City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Khani,GE,41.9563,42.9566,49.57,55,0,5.35,clear sky
80,New Norfolk,AU,-42.7826,147.0587,54.9,52,11,4.0,few clouds
81,Muros,ES,42.7762,-9.0603,56.84,96,100,8.03,overcast clouds
82,Nikolskoye,RU,59.7035,30.7861,23.02,95,100,8.97,snow
83,Diffa,NE,13.3154,12.6113,90.91,14,0,10.94,clear sky
84,Shar,KZ,49.5886,81.0453,28.17,79,100,17.81,overcast clouds
85,Punta Arenas,CL,-53.15,-70.9167,50.11,62,75,17.27,broken clouds
86,Dikson,RU,73.5069,80.5464,-21.66,97,100,12.28,overcast clouds
87,Castro,BR,-24.7911,-50.0119,65.17,77,100,8.95,overcast clouds
88,Shimoda,JP,34.6667,138.95,49.1,61,0,22.77,clear sky
89,Rafaela,AR,-31.2503,-61.4867,81.05,40,1,7.0,clear sky
90,Upernavik,GL,72.7868,-56.1549,18.34,93,100,5.14,overcast clouds
91,Nau,TJ,40.1525,69.3686,52.39,30,100,2.35,overcast clouds
92,Jiwani,PK,25.05,61.7417,76.77,58,0,8.97,clear sky
93,Ribeira Grande,PT,38.5167,-28.7,68.4,68,75,5.75,broken clouds
94,Vanimo,PG,-2.6741,141.3028,80.08,84,89,5.44,overcast clouds
95,Severo-Kurilsk,RU,50.6789,156.125,38.55,87,27,18.34,scattered clouds
96,Bengkulu,ID,-3.8004,102.2655,80.01,82,100,3.74,light rain
97,Saint-Philippe,RE,-21.3585,55.7679,85.55,83,37,11.99,scattered clouds
98,Osoyoos,CA,49.0331,-119.4524,39.61,60,100,4.61,overcast clouds
99,Ondjiva,AO,-17.0667,15.7333,82.44,47,75,6.91,light rain
100,Olafsvik,IS,64.8945,-23.7142,36.48,69,100,6.69,overcast clouds
101,Carnarvon,AU,-24.8667,113.6333,73.47,78,0,17.27,clear sky
102,Kalispell,US,48.1958,-114.3129,36.16,78,100,3.0,overcast clouds
103,Totolapan,MX,18.5167,-96.1833,69.93,94,7,3.69,clear sky
104,Orlik,RU,52.5178,99.825,0.59,81,1,2.95,clear sky
105,Amargosa,BR,-13.0303,-39.6047,79.3,71,98,4.61,overcast clouds
106,Fortuna,US,40.5982,-124.1573,47.35,58,42,3.0,scattered clouds
107,At-Bashi,KG,41.1702,75.8106,21.87,55,77,2.77,broken clouds
108,Alofi,NU,-19.0595,-169.9187,75.09,94,83,2.3,broken clouds
109,Cape Town,ZA,-33.9258,18.4232,72.01,54,20,7.0,few clouds
110,Kerouane,GN,9.2667,-9.0167,94.55,18,11,6.44,few clouds
111,Beringovskiy,RU,63.05,179.3167,32.72,82,93,23.89,overcast clouds
112,Darhan,MN,49.4867,105.9228,15.13,84,5,6.29,clear sky
113,Ixtapa,MX,20.7,-105.2,70.23,92,12,2.8,few clouds
114,Bambous Virieux,MU,-20.3428,57.7575,84.45,70,75,11.5,broken clouds
115,Poso,ID,-1.3959,120.7524,79.05,88,99,3.96,overcast clouds
116,Yebaishou,CN,41.3975,119.6408,29.84,58,0,4.43,clear sky
117,Impfondo,CG,1.6381,18.0667,91.92,46,44,1.54,scattered clouds
118,Oyama,JP,36.3,139.8,55.58,56,0,5.12,clear sky
